userName,content
Vance Hamilton,Typical Disney sucks. App deleted
Lisa Munoz,"Can never connect to app. Opening screen just continuously rotates the abc red circle. Have tried uninstalling, re-installing to no avail."
Chris Zeller,Commercial every 2 minutes that's 2 minutes long. Ridiculous brainless idiots .
Derrick Chinn,"ABC, Im embarrassed for you because of how badly this app sucks. Your company makes far to much money to have this app function so poorly. This makes me question how much your company even cares about quality. Your programming currently is forgetable. I cant think of a single show on your channel besides The Conners which yall seem to actively root against as its impossible to purchase season 1-4 anywhere. Yall used to dominate. Now yall a joke."
Samantha,I have fast Internet but it keeps buffering.
SUZI HIBBARD,Doesn't open!!!
Matthew Day,Not free not easy to use. Owned by Disney buy can't watch while paying for disney+..... ridiculous
Shaun Sheppard,"Using this app on a Google pixel 6 pro. Not sure about how the rest of the app works because it never gets past the loading screen. Uninstalled and reinstalled app several times, no change"
Nephateria Tucker,Don't like the fact that you have to have a cable provider to watch it! no one really has cable anymore! why not have the option to get a subscription
Aaron & Tamara Spring,"Can't link the damn app to my provider for Internet and it won't work this sucks, can't leave a real comment cuz I can't get into it!!!!!!!!"
Manuel Limon,"It is good to see the programming that you enjoy on ABC app., when your dish provider does carry it over a money dispute. Thanks"
jared chisum,Needs updating. Can't log in to dish network to watch local tv.
Debbie Brown,Never downloads
brittany shy,I love the app so much the Live TV news and shows Keep up the good work and keep improving And keep updating the shows And movies
Lou Green,Does this app even work ?
Will G,Doesn't work
*JinxedLupiePrincess* M_H_F (Chelle),Doesn't Work- AT ALL
Heather Greenlee,The app NEVER WORKED.
Katherine Mcalister,Unable to get logged in with original email
Stahler Heath,The View. Need I say more? ABC and this app can be summed up in one word: feculence.
Doug Brock,App does not load. Stuck on home screen. If your respond with reach out to our support team you can support deez nuts!
Nedim Zengovski,"This App is a joke, don't download it. It will never open. The Logo will just flash for 10 minutes."
Louise Bozek,Nothing free from over the air antennae...some law on this...make you have a provider. It takes forever to load once you hit app...who has time to watch ABC's logo scrollung for ever?
Donnivyn Deshotel,I'm upset with yall because I can't find my favorite shows yall had the option my list and now I can't find it now I have to keep looking through the app to find my favorite shows I got to go to browse change it back please
Mr. Frosty,"Shut tablet down, come back a couple of day's and it will not open.five times now. This is the last time I will down load it."
Renee,"This stupid app crashes multiple times while watching General Hospital, it'sunbearable. It never used to! Commercials always work. How convenient. Super nerve racking. Fix it already..."
vinnie fitzsimmons,"this app is awful on my smart tv, it constantly freezes, its very hard to get on my smart tv and the absolute worse thing is..I cannot get rid of the CC..no matter what U do its always there..channel 7 is one of my favorites but I can not deal with these issues..it needs to be fixed, therefore 1 star"
AnaElisa Nava Sanchez (The Crew),Could you please make an app for Xbox one series?
Mg M,Total pos app ... lmao ... uninstalled in 5 minutes ...
Wayne Lawrence,Does not list tv provider
Kambridge Wainscott,"The app literally never even opened. I installed it, but it never launched! It just said there was some ""unforeseen launching"" error and shut me out! So annoying!😡"
Ashinkashe “lhs” Jackson,"Used to be a decent app until the update last year. Now, it doesn't load and the ABC logo just spins. Ridiculous! I tried to give the developers time to fix the issue since, based on the comments, I was not the only one experiencing yhe issue. However, no such luck. I will be uninstalling."
Brian Skala,POS is not free can't watch a simple free broadcast love abc. Go suck a dick.
jeremy fincham,I hate that live ABC isn't available in my area ( Kansas City) on Optimum.
Carolyn Powers,Never loads. Just deleted it.
Linda Nix,I love it cause i can catch up on general hospital anywhere that I am
Luke Yarasheski,Doesn't Work
Paul Carlos,It's great when it works. When it works there's a long wait which I assume it's loading up all the shows. When it doesn't work it's just a blank screen.
maryjo snead,"Could not stream live show, CBS HAS LIVE STREAMING ON THEIR SHOWS SO EASY, FYI."
Jody Floor,"This app takes forever to load. I also have hulu, ESPN plus, and Disney plus, and none of them is this hard to load. What is going on?"
Sandra Overton,App hourglassed sometimes but overall an enjoyable streaming experience.
Aimee Gomez,Worst app ever for streaming.
Kristy Behrens,Your favorite shows and movies
Lyn Slaven,wont open whats it good for?
Grant Zollinger,This app needs to be working more frequently when I open it
Christopher Hamilton,Works ok. The problem is that it's impossible to activate a device using the app. Android also only allows you to open up the activation link in the app. So..... No activation from and android phone... Otherwise good
Sharon Sharon,I have to go get for all
Shelley Stiles,👍 Great for when I missed an episode. Other network apps don't always work unfortunately.
George14568,Loading the app that's to long make it shorter
Herace Billie Jean,Somewhat into but due to IMIE downpulls infos reach too much near. But love it!!
Bertha Murray,It is great
Alyssa Greenwood,Love the way how I can watch it in peace ✌
Marian Richburg,"Great App! Although sometimes difficult to perform the ""PLAY"" action for the available shows. Please fix as soon as possible. Thank you so much guys. 😊"
Marlene Denson,Never have been able to get ABC world news at 630 Pm
Kijuan Pruitt,"T5 transmission ttttt5tttyt the rt but vgrrzrc , I"
Robert Walker,Can't watch the local channel on the go because Verizon doesn't allow it(?) But I can't watch it through the Verizon app because I left the house. So how am I supposed to watch it?
allan tran,Something wrong with the app. It won't open.
Stephen Smith,"Too much in love with their own opening graphics, i.e. last for minutes. Not able to deliver current The View, nor any other show without provider, as is readily promised in site's beginning menu and as advertised to entice ABC's initial site download. Only has few random =\< 10 minute clips of shows from past decade. Truly misleading, time wasting, and overall frustrating. I've got an android w/ current (2/23 os)."
Sandra Rodriguez,I love it that movie. Please let me on my phone. Thanks 🙏🏻🙏🏻👍🏻
Gdvx xv,Fantastic app Please add more tv shows and movies This apphas freeform tv shows Abc and freeform are the same app
chrissandra thompson,It wouldn't do anything but stay on red and black screen showing ABC......Uninstalled app does not work
Peggy Wage,I have had this app for awhile and now will not open. Might want to fix it.
Terry Martinez,🤔I'm thinking perhaps ABC should try & steal CBS' or NBC's Developer - never have a problem with their APs Why should several of us have to submit a form to get help with what is a shared problem with the AP? Just post the steps to clear this problem. 🙄
Alan Tan,Good
Ericka Wade,Commercials are so lomg they make watching any show annoying. I only got the app for a couple of shows and now I no longer watch them due to having to bare thru 25-30 mins of commercials. Ridiculous!!
Kinder Lou,Doesn't open
richard maher,"Worthless to Cord cutters , you have to already have cable to watch anything ! Why bother ?"
Kimberly Hopkins,The absolute worst channel. Takes a long time to even load. Then nothing works and hardly anything is unlocked or even there. They only show trailers where shows are supposed to be. Then it locked up my whole Roku and TV so much that it had to be shut completely off.
Kevin Mahoney,"Would not open, I left it for 60 second still nothing. If you can't poach what you need in 60 seconds I'll go to CBS."
Enola Hastiin,Why can't you watch prior seasons of shows? I'd like to watch The Conner's seasons 1 - 4 but ABC only seems to have the most recent season. That makes no since as they're the broadcasting agency. If this capability exists in the app it's so buried that I cannot obviously find it.
Clint Nix,Nurse ratchet it ads
Mary Gray,The app doesn't get passed showing the initial ABC logo. Uninstalled a few times and reinstalled but still doesn't work.
Lori Mooney,Love Big Sky!
D M,Requires a your cable company name
Lory Adams,Terrible. App won't open even after uninstalled and reinstalled
Sherry Lewis,All my favorite shows at my fingertips!
Ann Kennedy,The best streaming news site.
Thomas Romolo,All this app does is buffer then give me error messages telling me there's a problem with my live streaming all my other apps work fine it can't be my streaming it has to be the app I see in the reviews others are having the same issues get it fixed!;;
Luz Rosa,Great app.
Brenda Johnson,Nothing is working I updated but nothing is happening
Candace Campbell,App did an update and now it won't even open.
Deby Living,Worked great for awhile and now it takes forever to load...faced with the dumb abc logo forever spinning and flipping as if putting me in a trans..(please change it) Now it won't play my local news and abc 10 national news says something to that fact that its not permitted. There's a padlock icon under abc10.
Andrew Martinez,I like this very much
Michael Smith,"App never fully starts, just forever on the ABC start screen."
Dawn Engle,Disgusting that you cannot access without specific paid services
Sheldon martin,great app
Leah Jackson,An awful lot of ads for an online program.
Jennifer Konkel,"Don't like that u can't stream live award shows or other programming when they air! Don't have cable or a provider, just my android phone! Can't afford it due to medical bills, had major surgery! Just would have been nice to watch Dick Clark Rockin Eve on new years eve instead of the next day, kinda takes the fun out of it! Wish there was a better solution! Just my opinion!👍😊"
Freddy,App is too buggy for 2023 and seriously 3 minute adds 4 times in a 20 min show I wish I could give zero stars this is hands down one of the worst streaming apps
Felicia Sharon Yates,Can you please cancel the membership
Christopher Cook,Ok I will be jkkkkkkkkjkk9k\{! zoom red f FF v be
J C,App never opens
Steve Flott,Ok
Jordan Counts,I installed this via Android TV and there is no way to exit the app. I had to turn the device on and off again. Terrible experience.
Corey Hart,App is trash anyways. But it's worse when a local station won't stream sports.
Marianne Muliero,Easy to use to watch current programming on demand
Adam Penn (Adam N. Penn),App doesn't even load. Just shows the logo animations over and over.
ANGIE Martin,Great!!
Curtis Bamberg,Does not work past the load screen...smh
Mary Lindsey,This app on my TV is horrible. It take and hour and a half to watch a 45 min show because it freezes and I have to keep reloading to get it to go forward. The only reason it gets 3 stars is because I like the shows.
Eileen Jasso,I get to catch up on whenever
Emily “Em” Thorne,Literally the worst app I've ever used in my entire life. Sorry to anyone who uses this app. So so sorry to you.
Phillip Burkhart,Why should I pay for my local stations on my phone but I can get it free on my TV antenna
CB10,First time installing it shows a loading screen that goes in a loop deleted it right away
Gina Salge,APP won't open! Use to work good.
George Angel Ortiz,Itisgood G
Pandora Taylor Hern,Won't let me watch TV unless I have a TV provider and I don't have one sucks
michele Stroem,I'm getting charged for this app which I have optimum cable. I uninstalled it. Please stop charging me.
Kristen Roy,My favorite shows are on ABC like Good Doctor and Goldbergs just to name my best shows.
Clara Vines,It want let me watch abc
Mary Watson,Only have good things to say about this app.
Amber B,Won't go past the screen with the flashing ABC. Reply to developers: Never said a thing about it freezing. The app is trash and needs serious work! Who wants to sit for 10 minutes watching the ABC logo flash waiting for the app to NEVER load!? Absolutely NO ONE!!!
Melissa Collins,The app will not open
Reina,"Hard to get into the app every time. Always problems with General hospital. The app needs to be updated, so when you tap on it, it opens up. This is the only app that doesn't open when I tap on it. I never have this problem with any other apps. I had to downgrade to one star. Can't get into the app today at all! It just saying ABC when I tap on it. I thought that Paramount + app was the worst. Now, it seems that this app is. I don't understand why it's not being fixed."
April Graveman,Never opened pffft
Sterling Phoenix,Will not allow me to watch anything for my area unless I have cable (time to uninstall and stop watching anything with ABC affiliated).
Mitchell Thornton,"Poor quality, and constantly buffering. I don't have this issue with any other streaming app, and it's not my internet connection."
Kent Callies,Doesn't work on my phone
Christopher Cormier,It's Disney app so the live sports streaming is garbage. I don't know why I still bother with cable...
Grumpy Grandpa,You cannot use it unless you have a subscription somewhere lol don't waste your time
Brianna Winchester,"UPDATE!!! WHEN SOAP GETS INTERUPTED, WHY IS NOT ON HERE TO WATCH??? HERES A THOUGHT KEEP YOUR ""SPECIAL REPORTS"" TO ALL YOUR SPECIFIC CHANNELS, LIKE FOX NEWS, CNN, ABCNEWS, CNBS, ETC!!! ) Holy commericials!! It's like watching reg Tv with all the commerials!!! Please shorten them!!!"
Helen Davis,"It keeps saying ""oops no account returned"" for some shows but will let you watch a differet show."
Amy Herman,Sensational
Whitney White,Absolutely Fabulous!
Lester Bowen III,It's sucks need work
Kìt Kát,App suddenly won't load
maricela espino,grest
archie grant 3rd,Horrible
Sarah Cumings,Won't let you watch basic TV shows that you can watch on TV even with provoder info so would not recommend
Nl Fant,Very difficult to get shows to play
MARY Evans REAVES,the best
Cortney Nicole,This ABC app didn't work out for me. Because I have to sign up for a subscription to unlocked the local programming? Well it's not any good! some of them are locked and some don't. So it's not easy for me to use this app by paying and costing the amount with a TV provider that I couldn't afford with.
Ellen Buffa,App does not work
Meritxel Perales,"False advertising, wasn't able to watch what I wanted in a matter of time. Don't waste your time, so disappointed"
Justin Neal,Uh...I am out of town and it will not let me stream my local content. Sorry I do not have a cable package at my AirBNB. Proof positive that ABC does not care about customers.
Kristofer Kalinauskas,I never used the ABC app before
Brad Trembath,Why aren't you on Xbox?
Douglas Lowe,"Terrible, Terrible app. Why do I have to sign in almost once a week just to be able to watch something that should be available on my digital antenna, but isn't? The process to re-sign in isn't streamline and frequently glichty to the point that I frequently nearly throw my phone out the window in frustration. I'm a longtime viewer of ABC but this app makes me think I need to re-evaluate my potentially bad decision in that respect."
Sandy Brower,It sucks won't let me use my password and twice it told me I would get a code sent in my email to reset it and never did.
Teresa Smith,its good
Sean Shawn,Its a great app
Cleophas Nurse,Smooth
Cody Lynch,Waste of time.
April Butler,Won't even open or launch
Donna Hersh,I watch my General Hospital
Catherine Fay,Cool
Christy Cushman,Love being able to see all my ABC shows
Philip Stegman,I really like this app. Get to watch a few of my favorite TV shows on here.
Charlie 1235,it kept freezing and kicking me out
Calistea,"Everything you do helps me, thanks"
Michelle Nunnery,I love this app.
Bayron Jordan,Excelente
Lisa Morgan,Love the ABC app!
Matthew Barthman,Can't watch in network nfl game without paying for cable or satellite. Defeats the purpose
Angela B,App not downloading. It's been a week now.
Michelle Dugger,Hi I just gave this app five star I hope I don't have any issue with this app
Bonnie Dawson,Fix UR STREAMING app ! U want us to use it but how can we when it doesn't work ! U & CBS R in CAHOOTS ! Just fix the DAMN APP ! It keeps running ! It shouldn't take this long ??
Dorothy White,"I think that ABC is a great channel to watch, so far I have not had any problem with watching it & I will recommend it to others to watch."
Sincere Martin,It's made it so easy to watch and catch up on my favorite shows the appear on ABC.
RJ Deters,"Nothing loads or casts. Sits and spins. All of my other streaming apps load and play and cast just fine. Too bad you have some very nice shows that I would really like to watch. Definitely do not recommend this app at all. And ABC don't blame my internet! It is top shelf stuff as are my casting devices. And after reading the reviews, apparently I'm not the only one experiencing this. Too bad very frustrating"
Ronnie Peterson,Describing how ABC is of the world is to see what's on when we see it.
Ikey Pitts,"Seems I have the same problems as most, and the response is to contact customer service. They must not be listening because the problem is in the app design itself. No problems with CBS & NBC networks. With those, I installed app and was up and running. ABC app has delays and annoying requests for additional info. Uninstalled, not worth the bother..."
Shmeka Bennett,Love it's
The Ledgen 27,Great
Lori Dowdy,Great
Alan Durham,"*UPDATE Disney-ABC Customer Care has worked diligently to resolve these issues. If you are experiencing difficulties with the app do not hesitate to contact them. App takes a long time to load. When it finally loads, it takes several attempts to log in to my cable provider even though I have used the app within the previous 24 hours. There are problems with the app stating that there is a problem with parental controls (which I have never set any up) or there is a problem with live streaming."
Jay Gaat,👍
Robert Young,"Loaded an Unloaded multiple times! Have tried this app off and on for 3 months on Galaxy Note 20. Has never opened, just spins logo for as long as you care to wait... Negative Star Rating."
Karen Morrison,With as much money as ABC has you would think they could make a decent player so people could watch I have to use it to watch GH otherwise I can't watch today's episode that day. It never matches up the sound and video or you have to go out go back in cause you get errors with player this is so awful please fix it! You have like thousands of complaints do something about it!
Timothy Haley,"So I don't like commercials. If I am watching a show that is not live, why do I still have to see commercials?"
207 Ayers (Indigo -n- Kitty),"All of my devices it locks up during loading of the logo and has never once ever run for me on any one of my devices .. and no I'm not going to ""help you"" fix your app.. seriously that's your response?! to ask me to help you fix your junk. Oh and hey here's a self-explanation it's run by Disney! PS I can't get through that stupid app either! And no I'm not jumping through your hoops in order to help you fix your app."
Stephen Klages,Why should I have cable to watch a channel that is free over the air but won't play or connect over the air having the app is stupid and pathetic
Rosa Michael,The app gets stuck on the beginning just red circles saying abc....never opens...so sad...
Susana Murillo,Not able to watch on my phone.
JOSHUA TREVINO,Abc
Jennifer Johnson,Like
Mitch Devivo,"This app is awful, it'll take you three hours to watch an hour-long show. When you pause or rewind something, it randomly goes to the next show and you need to restart it. That's not even the worst part! The app is too dumb to know you've already watched all these parts, and if you attempt to fast-forward to where you left off, it forces you to stop and watch all the commercials over again! Perfect example of how Disney has lost its way, becoming a disaster of a company."
Doug Meyer,Junk on fire Tv. Can't log in.... constantly freezing. Pathetic app design for a large media company.
Emme Logan,Can't watch an episode through it keeps freezing before and after the ads n when I leave n come back it still doesn't work!! Fix the abc app bc it sux!!!!!!!!! WORST APP IVE EVER HAD!!!
Whitney Martin,Drops a video once and a while but otherwise great app to watch shows!
Sean Reeves,Great
Connie Reese,Couldn't log in... couldn't use activate on my Roku. So 😠
linda,The only thing I don't care for is the same commercials over and t. I don't mind commercials but c'mon get some different sponsors.
Chole Kat,This is the best app
Peake Nasrallah,"This app will not run, doesn't matter how many times I delete it and reinstall. Just loads for infinity when you open it, every time. How pathetic that a company like Disney hasn't fixed this by now...."
Aaron Hughes,"App is junk. It will never play anything I want to watch. ""Currrently unavailable"" or it will try to load and it'll just sit and spin. That's pretty much what you need to do with this app!"
D,"Worthless app, even logged in nothing works. Is this run by children or adults?"
Anton Krebs,They can't even get what's on correct. It's your station.
STEVEN,COOL
Donna Becker,Uninstalled. Would not connect.
ADAM - GERALDINE TOWNSEND BYRO,I'm a Disney+ subscriber and would like to know if I can use this app in conjunction with my subscription. This is one of my favorite channels and I'm very surprised you can't get a subscription for it. Geraldine
Sabrina Adams,App keeps freezing up and error in out
Kath,I would leave no star but I got to choose one at Best. Terrible app I haven't tried it on my Android. I can attest to my Android Smart TV that the app is junk it just has a circle that just keeps going around around it's just junk.
Percy Lance Mayes,It was great! There wasn't any buffering. I was afraid that I wouldn't be able to see the interview because I had missed the original airing.
Carla Huggins,Am just now downloading haven't watched yet but am looking forward to watching alot of live & On Demand. Thanks Carla H.
Mr.Robert S. MCHENRY,Ok
Daughter Of The King,That darn commercial about the couple that owns a cheese shop So tired of seeing it. UGH
Peter Iga,I haven't used the app that much but it seems so far so good
Kim Dettrey,Very convenient when you can't catch your favorite shows.
Juli Balot,The Best.!!
marjorie duson,Great experience
Tina M Park,I am very upset because I can not watch my football team play through this app. It's free but you must have a TV provider if I had a TV provider would I need this app. Plus you have every other TV and phone provider but Roku & US Cellular. The ones I have. So I have just Uninstaller your app. Because it's useless to me. I don't think I can even give you a 1 star. Sorry.
BOOK WORM,works Well so far
tyler fluckiger,Good
VL Barkman,"I rarely use this app since it is not ""picture-in-picture"" capable like all my other video content apps are. Too often I am needing to answer a text, or sometimes just play a game on my phone while I'm watching a show. This app is all or nothing."
Walter Schoen,Awesome reliable programming
Mason Wilson,I'm completely done with ABC the constantly let a show :THE VIEW constantly call people roaches and use race BAITING no wonder why yall can't keep up with NBC #BLOCKEDABC
Lily Arp,"All I want is to watch bachelor in paradise. But no! I get stuck in a loop of signing into my provider and then the app not recognizing it and saying to sign in. I already have, ABC! Almost as bad as the Roku app which constantly tells me there's an issue with the parental controls and won't let me watch live TV."
MaryLynn Milazzo,"ABC is (or was) my favorite National TV channel. But their Apps Do Not Claim to do what they say. Its all a ""catch 22."" First, ABC wont even let you sign-up for their app to watch any of their shows on their app unless you are already a paying subscriber for one of their monthly premium TV Plans...huh?? Tell me ABC Why would I even bother to sign-up for your app, if I'm ALREADY WATCHING your ABC Channel with my Paid Subscription ?? The ABC app...worthless."
Talia San Nicolas,👍
William Fonda,Doesn't download! 11 months later and it still doesn't load! Why is incompetence central to ABC app? You want viewers? FIX it!
Rachel Baughn,"wont open. waited 35 minutes but the loading screen wont change. i have fast internet, plenty of ram and rom. all other apps work fine including netflix, nbc, cbs, prime and paramount. please fix this."
T McG,Glitchy
Tammy McCollister,"This and the website is absolute trash. I'm trying to watch Good Morning America at work, when it says I could of you're asking, and it won't let me. Then they have the nerve to put try Hulu live. I have the regular one and if this is what you and Hulu are doing to get people to subscribe to Hulu live, I'll be cancelling my subscription to Hulu as well."
Bob T,"Stream never loads - all other streaming apps work fine on my device. Fix your app! Reply to dev: It doesn't freeze, it just doesn't load (circle spins forever). I am running an up-to-date device on the latest version of Android. Everything else works, so the issue is in your end. Funny how I can load the same stream on the ESPN app, but it refuses to load on yours..."
Ronda Reed,Get to see live TV whenever I want. Movies with no commercials
Nate Baker,"People at ABC shouldn't have jobs. Years of non working garbage. What a joke for a company. It's unbelievable when you think maybe after a year they would fix their app, but clearly too complicated for them."
Eric B,"Bad from the start, open the app and all you get is a red flashing screen with ABC going in and out.. and from the looks of the other comments you really need to trash this app and start from scratch and try it again...good luck though, This is deleted"
Omri Roberson,Convient app if you don't have antenna on tv you know what I mean!!!
"Carroll E. Gant, JR.",I watch a clip then it ended then another clip started playing until I paused it then closed it. Why did it autostart? I hate that when I just want to see one Clip...
Teresa Worden,I get to watch my soaps when i miss them
Alysse J.,The live stream constantly drops
ric,Its ok if you enjoy the endless ABC logo animation ...because it doesn't do anything else
GABRIEL LAUREL,App won't even open. Just sits on black screen. Tried on 2 different phones.
Renae Stewart,This app opened when I first installed it but now just flashes red dots alternating with abc over & over & over for ? long. Who's got time for that?!
Mark Raught,Just shows the logo flashing around. Never gives any option to do anything.
Ken Lien,I installed this app from Google Playstore. The only thing this app can do is to play the opening graphic animation that goes on forever. I have to force quit and uninstall. Instead I installed the same app from Aptoid. It ran great.
J,Shows not playing
Barbara Cornelius,Worked perfectly. I can watch anywhere when not home in the living room 🙃
Christine Johnson,"I have to re-download the app almost everytime I want to watch a show. At times, it takes 2-3 downloads before it will finally work. I'm beyond exhausted watching the red ABC logo flash across my TV screen."
Rose Khatib,Okie
Richard Goree,App doesn't open.
THINK GLOBAL ACT LOCAL,okay
Penny Manning,"On my phone the Ads & movies don't freeze. My disappointment is the lack of interesting or truly compelling content. A boring app, depending on what you want to watch. The free stuff is severely limited. Have to sign in to a TV provider in order to watch the Multitude of locked content. A lot of this programming used to be free in the Analog TV days. Now, in my area, due to poor signals, we have to rely on cable companies to view content. Can't afford cable. I'll likely uninstall this ABC app."
Linda Walker,It asks for you to activate your account. I can't do it and I want to uninstall my account
Chandra Powell,So it is an app for the cellphone AND You HAVE to HAVE a TV provider. The most shows are locked. Says you can wait 8days after some are aired.
irv581,"Live stream not available in Puerto Rico, these are the hypocrytal Liberals that are always speaking about how important are minorities for them"
Denise Price,"ABC APP IS NOW TOTALLY USELESS. I AM ON MY HOME WI-FI, AND THE APP WON'T LET ME WATCH BECAUSE I AM IN AN ''UNSUPPORTED AREA''. TIME TO BOYCOTT ABC UNTIL THESE ISSUES ARE FIXED!!!"
Diana Norgaard,Hangs all the time. I'm watching a show via Chromecast and the app hangs. The show doesn't resume from where I left off once I get it working again.
Katarina S.,Very problematic app. I've used it for years and am having a lot of trouble lately trying to watch shows. Keep getting a message that my service doesn't include abc when it absolutely does. I pay a lot for my service and expect it to work. This is supposed to be a convenience but it's instead wasting my time and trying my patience. I'm fed up!
Katie T,You have to pay for a free channel. We had a digital antenna and watched WZZM 13 through ABC everyday. We got a firestick to increase our channels but still want to watch the news in the morning. Without having a paid TV subscription you can no longer watch the channel I can get for free on a digital antenna. I guess we will be switching news broadcast.
Sweetczz,"Casting icon keeps disappearing, closed captioning function gets stuck on off and sometimes vanishes, after the first show casts, the program needs to be rebooted to cast other shows or the ABC logo just spins into oblivion. Lots if bugs. Shutting the application doesn't always fix it and I have to constantly reboot the phone"
Sandy Williams,Your site sucks it shouldn't take 30 freaking minutes to watch a dame show. I dont recommend your streaming channel until it gets better. It's not my internet connection either....
tonie prince,Never used it
Larry Dobson,Not bad
Terri Earl,"This app is terrible, doesn't work at all. Keeps telling me that I'm not in the country or have available internet yet every other app and tv channel works fine."
Beauti_Ryer,Good better then you tube whose entirely slow !!
David Hawkins,This app sucks. Please explain to me why I'm not able to watch without a TV provider? This is very discriminatory to me because I use an antenna for my TV service.
Lorna Salmon,Can get the best program while babysitting and baby use the television
ShadowBanned!,Useless! Couldn't access live stream via OTA through my cable service. Immediate uninstall.
Dale Darling,In the middle of nowhere with no chance of any provider but the cell company means this app is a loser in the biggest way. 8 years later still only able to watch local/live with a cable provider. ABC your still a loser.
Jody Lewis,I truly appreciate u giving me a chance 2get this TV app.🔤 ( network)👍😎♥️❤️♥️💥
Simply Wilda,"Ever since the last upgrade app stalls on the opening logo. Haven't been able to watch any shows in over a month. The fact that there are a lot of similar complaints shows this is not an isolated situation, yet the blanket generic statement from Disney is ""contact customer support"" how about you contact your own department and fix the problem?"
randolph Boswell,OKAY 👍
SIIpscrIIn,dogs#*+
William Wadsworth,It's good to watch your shows when you don't have cable.
Jeffre Andow,Thank to get into a classic. Good.
Evelyn Torres,My experience with ABC is amazing. Thank you.
Kelle Fathers,"If you miss an episode of an ABC show (they also have Freeform and Hulu shows), you can watch it in the app the next day--IF you have cable/satellite and sign with your provider. If not, you have to wait an entire EIGHT days...one full week plus an extra day...and they don't really care that they're playing favorites. You don't have cable? Well, gee, it ain't their problem. Unfair as hell, but not their problem..."
Marty Funkhauser,"Doesn't work! Probably no one uses this attempt at an app, and that's why they don't care to fix it."
Vicki Vandeventer,Wonderful
Ed limper,Garbage.
Don Seeya,I can't get past the first screen where it keeps flashing ABC designs. It's been doing this for several minutes. I've closed and opened it several times. I see I'm not the only user with this problem. There is something wrong with this app.
Kaethe Bratton,"Used to catch daily episodes of GH,but the quit having them...?"
Ken Stolz,Good Shows!
Miguel Vega,Trash app
John Snyder,Won't even get past the loading screen. Tried reinstalling and restarting too. Try a different app folks...
Terryosborn Osborn,good
Sheila Anderson,It takes too long to load and freezes on my Firetv. Update: Would give it 0 stars if I could. This the worst app on my TV. Have to log in every time I use it and will lock me out while I'm watching it.
Christian,"( Please allow it on youtube saturday)I give it 5 stars because I know it's a great channel!! Could you please make the ohio state vs Michigan State game free on Saturday November 8, 2022? Hundreds of thousands or even millions of people will tune in for it. Thank you and God bless you all for reading this and hopefully following through with free football Saturday. I cannot afford to add it to my (Charter) Spectrum cable/internet subscription ( Along with millions of other thankful christians)"
Phillip Maker,This app is junk. It never works. Wasted space.
Devon Cummings,I have anc on my cable it goes from internet provider problem to my tv provider problem
Gean H.,Looks like Everything I want to watch is on Hulu .If I wanted to PAY for Hulu .I would have .But I'm looking free TV. ABC was a free TV station once up on a time. :-(
Sharon Fisher,"Doesn't ever open beyond a very visually restless, bouncy, red and black graphic. TOTAL WASTE OF TIME AND STORAGE SPACE! DOES NOT FUNCTION."
Anthony Smith,Works great.
Caroline D'archangelo,Excellent!
Carlos Barreras,If I have to pay for a provider won't get you communist socialism app idiot
Tamaru A (MVC30),"This app is a pain. I use it to mostly watch the live stream & its the worse. There's days where the live stream is not available for long periods of time. I get this error on my tv scene & phone ""ABC live stream is currently not available through"". Or it says I'm not authorized to watch even though I'm authorized. My biggest issue is that it cuts the live stream off at the wrong time just to show long periods of commercials. Seems like I watch more commercials than I do the actual show/news."
Lisa Hill,Good app. Really like the ABC network.
Teresa Martinez,"unable to watch shows, continually stating that its not available."
Janis Brady,"Good, unless it doesn't work this time."
Bart Boyd,Nothing but black screen and lolgo
Crandall19,2nd worst streaming app.
Dan Villani,App works great
Carrie A Jacobs,"Horrible app, it never actually opens and just stays in the red and black circle logo"
Michael Richardson,Just shorts of shows or clips. NOT REAL SHOWS
Bode Rasmussen,This is for me
J D,App doesn't even work. Just a abc bubble bouncing around.
John Frazier,all my favorite channels i get to view and enjoy. thanks
Brad Urban,If you can get pass the splash screen you are lucky. It's a bad app.
Tiffany,"Absolute worst! Had I remembered ABC was owned by crooked Disney, I would have NEVER downloaded the app. Most shows the app says ""Stream in Hulu"". So, Disney things people are going to pay even more money for a membership to an app when they can watch it through satellite provider? Hell no. Junk! Uninstalled"
Douglas Bevin,Quick link and annoying ads.
Terrilyn Sowell,This show is very funny 😅
veronica Romero,It wont let me watch The Conners for free anymore what happened i use to watch them all the time for free.
Dean Mohr,Suddenly the Chromecast app is unusable. Constantly asking me to sign into my provider but never working right. Not much better on my phone.
Marcus Snipes,Horrible app doesn't even work
Brandon Hanson,"Unusable, screw Disney"
Kim Zachary,"Hardly ever works. Freezes when launches, gets error message, or just gets stuck at the ABC opening."
Mercedes Ferreyra,Never updates throughout the day?
Dylan smith,Have to have tv provider
Tanya Johnson,Absolutely fantastic. Awesome. The greatest.
Jeff Carver,Glitchiest app of all time. Does not interface with casting. App suddenly closes or extremely slow to open. Shows jump around randomly
Katherine Gonsauls,I love the app I've never had any problems with it I can watch all my shows I can fast forward and Rewind if I want and I have absolute freedom I disconnected my cable I'm saving over $200 a month by simply installing this app thank you so much
